ts,oldest_ms,fill_pct
2026-02-20T05:03:56.972859200+00:00,5291.295,21.7
2026-02-20T05:03:57.021663+00:00,5340.038,21.9
2026-02-20T05:03:57.069331800+00:00,5387.758,22.3
2026-02-20T05:03:57.116767800+00:00,5435.206,22.5
2026-02-20T05:03:57.167259300+00:00,5485.695,22.9
2026-02-20T05:03:57.231419600+00:00,5549.827,23.0
2026-02-20T05:03:57.267263800+00:00,5585.656,23.4
2026-02-20T05:03:57.318183800+00:00,5636.622,23.8
2026-02-20T05:03:57.379306500+00:00,5697.722,24.0
2026-02-20T05:03:57.430669800+00:00,5749.108,24.2
2026-02-20T05:03:57.469704900+00:00,5788.139,24.8
2026-02-20T05:03:57.531562600+00:00,5849.999,25.0
2026-02-20T05:03:57.580684300+00:00,5899.121,25.4
2026-02-20T05:03:57.629634500+00:00,5948.071,25.6
2026-02-20T05:03:57.667233700+00:00,5985.685,26.2
2026-02-20T05:03:57.730394500+00:00,6048.831,26.4
2026-02-20T05:03:57.765921800+00:00,6084.367,26.4
2026-02-20T05:03:57.829445500+00:00,6147.884,27.0
2026-02-20T05:03:57.879453600+00:00,6197.890,27.0
2026-02-20T05:03:57.917532100+00:00,6235.965,27.5
2026-02-20T05:03:57.969177300+00:00,6287.605,27.7
2026-02-20T05:03:58.017136700+00:00,6335.571,28.1
2026-02-20T05:03:58.067531300+00:00,6385.972,28.3
2026-02-20T05:03:58.131662+00:00,6450.099,28.9
2026-02-20T05:03:58.170160400+00:00,6488.578,29.1
2026-02-20T05:03:58.217441700+00:00,6535.880,29.5
2026-02-20T05:03:58.279458200+00:00,6597.894,29.7
2026-02-20T05:03:58.329452100+00:00,6647.892,30.3
2026-02-20T05:03:58.366961500+00:00,6685.400,30.5
2026-02-20T05:03:58.429666300+00:00,6748.104,30.9
2026-02-20T05:03:58.479895+00:00,6798.315,31.1
2026-02-20T05:03:58.527617400+00:00,6846.056,31.1
2026-02-20T05:03:58.567811400+00:00,6886.257,31.8
2026-02-20T05:03:58.629398400+00:00,6947.837,32.2
2026-02-20T05:03:58.679383200+00:00,6997.804,32.4
2026-02-20T05:03:58.729691100+00:00,7047.916,32.4
2026-02-20T05:03:58.768331700+00:00,7086.771,33.0
2026-02-20T05:03:58.830980700+00:00,7149.421,33.2
2026-02-20T05:03:58.879403900+00:00,7197.845,33.6
2026-02-20T05:03:58.929617600+00:00,7248.024,33.8
2026-02-20T05:03:58.967020200+00:00,7285.393,34.4
2026-02-20T05:03:59.016374800+00:00,7334.800,34.6
2026-02-20T05:03:59.080255100+00:00,7398.693,35.0
2026-02-20T05:03:59.129473+00:00,7447.912,35.2
2026-02-20T05:03:59.179502700+00:00,7497.938,35.4
2026-02-20T05:03:59.216908600+00:00,7535.355,35.7
2026-02-20T05:03:59.267406900+00:00,7585.841,35.9
2026-02-20T05:03:59.320131600+00:00,7638.556,36.3
2026-02-20T05:03:59.367784800+00:00,7686.220,36.7
2026-02-20T05:03:59.417220800+00:00,7735.648,37.1
2026-02-20T05:03:59.479467700+00:00,7797.875,37.3
2026-02-20T05:03:59.529849800+00:00,7848.291,37.7
2026-02-20T05:03:59.579403100+00:00,7897.840,38.1
2026-02-20T05:03:59.629381400+00:00,7947.815,38.5
2026-02-20T05:03:59.679257600+00:00,7997.694,38.7
2026-02-20T05:03:59.729525400+00:00,8047.897,39.1
2026-02-20T05:03:59.779576400+00:00,8097.980,39.5
2026-02-20T05:03:59.829364500+00:00,8147.796,39.8
2026-02-20T05:03:59.879143+00:00,8197.576,39.8
2026-02-20T05:03:59.929252300+00:00,8247.692,40.2
2026-02-20T05:03:59.967794600+00:00,8286.071,40.6
2026-02-20T05:04:00.017243400+00:00,8335.680,40.8
2026-02-20T05:04:00.080462700+00:00,8398.869,41.2
2026-02-20T05:04:00.129492700+00:00,8447.932,41.4
2026-02-20T05:04:00.166737600+00:00,8485.177,42.0
2026-02-20T05:04:00.217967800+00:00,8536.331,42.2
2026-02-20T05:04:00.267164900+00:00,8585.475,42.6
2026-02-20T05:04:00.345910500+00:00,8664.319,42.8
2026-02-20T05:04:00.367169900+00:00,8685.608,43.4
2026-02-20T05:04:00.430424300+00:00,8748.838,43.6
2026-02-20T05:04:00.466806300+00:00,8785.243,43.9
2026-02-20T05:04:00.529525900+00:00,8847.963,44.1
2026-02-20T05:04:00.567091500+00:00,8885.505,44.7
2026-02-20T05:04:00.617106700+00:00,8935.545,44.9
2026-02-20T05:04:00.679288700+00:00,8997.726,45.3
2026-02-20T05:04:00.729350700+00:00,9047.770,45.5
2026-02-20T05:04:00.779349700+00:00,9097.782,46.1
2026-02-20T05:04:00.829456600+00:00,9147.887,46.3
2026-02-20T05:04:00.879559700+00:00,9198.000,46.7
2026-02-20T05:04:00.929395+00:00,9247.817,46.9
2026-02-20T05:04:00.979304700+00:00,9297.732,47.5
2026-02-20T05:04:01.029683200+00:00,9348.118,47.7
2026-02-20T05:04:01.079546+00:00,9397.932,48.0
2026-02-20T05:04:01.129320500+00:00,9447.754,48.2
2026-02-20T05:04:01.180511200+00:00,9498.950,48.8
2026-02-20T05:04:01.230492400+00:00,9548.923,49.0
2026-02-20T05:04:01.279277400+00:00,9597.684,49.4
2026-02-20T05:04:01.333532800+00:00,9651.970,49.6
2026-02-20T05:04:01.380396300+00:00,9698.796,50.2
2026-02-20T05:04:01.417203600+00:00,9735.646,50.4
2026-02-20T05:04:01.479433600+00:00,9797.869,50.6
2026-02-20T05:04:01.530396800+00:00,9848.815,50.8
2026-02-20T05:04:01.567308600+00:00,9884.949,51.2
2026-02-20T05:04:01.630604600+00:00,6583.491,39.1
2026-02-20T05:04:01.667222400+00:00,6620.074,39.3
2026-02-20T05:04:01.731231200+00:00,6684.118,39.6
2026-02-20T05:04:01.779511600+00:00,6732.401,40.0
2026-02-20T05:04:01.831555400+00:00,6784.441,40.4
2026-02-20T05:04:01.866356500+00:00,6819.226,40.6
2026-02-20T05:04:01.918076+00:00,6870.963,41.0
2026-02-20T05:04:01.966374+00:00,6919.257,41.4
2026-02-20T05:04:02.029794700+00:00,6982.682,41.8
2026-02-20T05:04:02.079348+00:00,7032.231,42.0
2026-02-20T05:04:02.116289100+00:00,7069.169,42.2
2026-02-20T05:04:02.179211500+00:00,7132.101,42.8
2026-02-20T05:04:02.228993+00:00,7181.880,43.0
2026-02-20T05:04:02.278960600+00:00,7231.848,43.2
2026-02-20T05:04:02.328971100+00:00,7281.861,43.6
2026-02-20T05:04:02.379434200+00:00,7332.319,43.9
2026-02-20T05:04:02.431550200+00:00,7384.440,44.3
2026-02-20T05:04:02.479387300+00:00,7432.267,44.5
2026-02-20T05:04:02.529200900+00:00,7482.089,44.7
2026-02-20T05:04:02.581028+00:00,7533.917,45.3
