ts,total,critical,important,normal
2026-03-17T15:47:01.188614+00:00,2,0,1,1
2026-03-17T15:47:01.236451700+00:00,2,0,1,1
2026-03-17T15:47:01.284326200+00:00,1,0,1,0
2026-03-17T15:47:01.347062+00:00,2,0,1,1
2026-03-17T15:47:01.394127400+00:00,2,0,1,1
2026-03-17T15:47:05.593897100+00:00,2,0,1,1
2026-03-17T15:47:05.649699700+00:00,64,0,64,0
2026-03-17T15:47:05.697042200+00:00,64,0,21,43
2026-03-17T15:47:05.737708600+00:00,22,0,1,21
2026-03-17T15:47:05.798318+00:00,1,0,1,0
2026-03-17T15:47:05.845394500+00:00,3,0,1,2
2026-03-17T15:47:05.891710900+00:00,1,0,1,0
2026-03-17T15:47:05.940374600+00:00,2,0,1,1
2026-03-17T15:47:05.987991400+00:00,1,0,1,0
2026-03-17T15:47:06.034588900+00:00,2,0,1,1
2026-03-17T15:47:06.095807100+00:00,2,0,1,1
2026-03-17T15:47:06.142564700+00:00,1,0,1,0
2026-03-17T15:47:06.190056800+00:00,2,0,1,1
2026-03-17T15:47:06.236550300+00:00,2,0,1,1
2026-03-17T15:47:06.283222200+00:00,2,0,1,1
2026-03-17T15:47:06.346200700+00:00,1,0,1,0
2026-03-17T15:47:06.393402400+00:00,2,0,1,1
2026-03-17T15:48:00.647275600+00:00,64,21,43,0
2026-03-17T15:48:00.694929+00:00,64,49,15,0
2026-03-17T15:48:00.758552+00:00,64,1,63,0
2026-03-17T15:48:00.804979500+00:00,64,0,64,0
2026-03-17T15:48:00.853098500+00:00,64,1,63,0
2026-03-17T15:48:00.900542600+00:00,64,0,64,0
2026-03-17T15:48:00.945677400+00:00,64,1,63,0
2026-03-17T15:48:00.992354700+00:00,64,0,64,0
2026-03-17T15:48:01.062121100+00:00,64,1,63,0
2026-03-17T15:48:01.095462500+00:00,14,0,12,2
2026-03-17T15:48:01.138381300+00:00,2,1,1,0
2026-03-17T15:48:01.186020600+00:00,2,0,1,1
2026-03-17T15:48:01.233962300+00:00,2,1,1,0
2026-03-17T15:48:01.295748800+00:00,1,0,1,0
2026-03-17T15:48:01.344634900+00:00,2,1,1,0
2026-03-17T15:48:01.391824200+00:00,2,0,1,1
2026-03-17T15:48:01.440545800+00:00,2,1,1,0
2026-03-17T15:48:05.646692300+00:00,1,0,1,0
2026-03-17T15:48:05.702524300+00:00,64,42,22,0
2026-03-17T15:48:05.750965900+00:00,64,0,63,1
2026-03-17T15:48:05.790774200+00:00,22,1,1,20
2026-03-17T15:48:05.833452700+00:00,1,0,1,0
2026-03-17T15:48:05.896886500+00:00,3,1,1,1
2026-03-17T15:48:05.944151700+00:00,1,0,1,0
2026-03-17T15:48:05.992028700+00:00,1,0,1,0
2026-03-17T15:48:06.037860400+00:00,2,1,1,0
2026-03-17T15:48:06.085893200+00:00,2,0,1,1
2026-03-17T15:48:06.149035400+00:00,2,1,1,0
2026-03-17T15:48:06.195362400+00:00,1,0,1,0
2026-03-17T15:48:06.243353100+00:00,2,1,1,0
2026-03-17T15:48:06.290512100+00:00,2,0,1,1
2026-03-17T15:48:06.338422300+00:00,2,1,1,0
2026-03-17T15:48:06.386449400+00:00,1,0,1,0
2026-03-17T15:48:06.433287+00:00,2,1,1,0
2026-03-17T15:48:40.691939500+00:00,64,50,14,0
2026-03-17T15:48:40.742886800+00:00,64,49,15,0
2026-03-17T15:48:40.791509+00:00,64,1,63,0
2026-03-17T15:48:40.841314400+00:00,64,0,64,0
2026-03-17T15:48:40.896866200+00:00,64,1,63,0
2026-03-17T15:48:40.944316800+00:00,64,0,64,0
2026-03-17T15:48:40.991422700+00:00,64,1,63,0
2026-03-17T15:48:41.041225+00:00,64,0,64,0
2026-03-17T15:48:41.090831800+00:00,64,1,63,0
2026-03-17T15:48:41.134800600+00:00,14,0,12,2
2026-03-17T15:48:41.189719100+00:00,2,1,1,0
2026-03-17T15:48:41.238756700+00:00,1,0,1,0
2026-03-17T15:48:41.286763800+00:00,2,1,1,0
2026-03-17T15:48:41.333026+00:00,2,0,1,1
2026-03-17T15:48:41.389843100+00:00,2,1,1,0
2026-03-17T15:48:41.437569100+00:00,1,0,1,0
2026-03-17T15:48:45.690259200+00:00,2,1,1,0
2026-03-17T15:48:45.746216800+00:00,64,42,22,0
2026-03-17T15:48:45.792905600+00:00,64,0,64,0
2026-03-17T15:48:45.851367500+00:00,24,1,1,22
2026-03-17T15:48:45.895141500+00:00,1,0,1,0
2026-03-17T15:48:45.944266600+00:00,2,1,1,0
2026-03-17T15:48:45.991161700+00:00,2,0,1,1
2026-03-17T15:48:46.039155500+00:00,2,1,1,0
2026-03-17T15:48:46.086881+00:00,1,0,1,0
2026-03-17T15:48:46.148776700+00:00,2,1,1,0
2026-03-17T15:48:46.196731900+00:00,2,0,1,1
2026-03-17T15:48:46.243330800+00:00,2,1,1,0
2026-03-17T15:48:46.291554600+00:00,1,0,1,0
2026-03-17T15:48:46.338573500+00:00,2,1,1,0
2026-03-17T15:48:46.386907200+00:00,2,0,1,1
