ts,task,seq,start_delay_ms,completion_delay_ms,runtime_ms,preemptions,deadline_ms
2026-02-20T05:03:56.151158300+00:00,antenna_alignment,64,1381.405,1435.912,3.000,0,50.000
2026-02-20T05:03:56.245974700+00:00,antenna_alignment,65,1386.394,1480.728,3.000,0,50.000
2026-02-20T05:03:56.299287800+00:00,antenna_alignment,66,1431.577,1484.042,3.000,0,50.000
2026-02-20T05:03:56.361387600+00:00,antenna_alignment,67,1434.670,1496.141,3.000,0,50.000
2026-02-20T05:03:56.401811100+00:00,antenna_alignment,68,1447.485,1486.565,3.000,0,50.000
2026-02-20T05:03:56.479498900+00:00,antenna_alignment,69,1437.098,1514.253,3.000,0,50.000
2026-02-20T05:03:56.547351600+00:00,antenna_alignment,70,1464.745,1532.105,3.000,0,50.000
2026-02-20T05:03:56.599953600+00:00,antenna_alignment,71,1482.830,1534.707,3.000,0,50.000
2026-02-20T05:03:56.665374600+00:00,antenna_alignment,72,1485.797,1550.128,3.000,0,50.000
2026-02-20T05:03:56.717188300+00:00,antenna_alignment,73,1501.484,1551.943,3.000,0,50.000
2026-02-20T05:03:56.781415200+00:00,antenna_alignment,74,1502.559,1566.169,3.000,0,50.000
2026-02-20T05:03:56.863109700+00:00,antenna_alignment,75,1516.874,1597.864,3.000,0,50.000
2026-02-20T05:03:56.930891300+00:00,antenna_alignment,76,1548.833,1615.645,3.000,0,50.000
2026-02-20T05:03:56.983777+00:00,antenna_alignment,77,1566.632,1618.531,3.000,0,50.000
2026-02-20T05:03:57.047124400+00:00,antenna_alignment,78,1569.454,1631.878,3.000,0,50.000
2026-02-20T05:03:57.100026600+00:00,antenna_alignment,79,1582.336,1634.780,3.000,0,50.000
2026-02-20T05:03:57.167378200+00:00,antenna_alignment,80,1585.345,1652.125,3.000,0,50.000
2026-02-20T05:03:57.246229500+00:00,antenna_alignment,81,1602.931,1680.984,3.000,0,50.000
2026-02-20T05:03:57.318189300+00:00,antenna_alignment,82,1631.553,1702.944,3.000,0,50.000
