ts,oldest_ms,fill_pct
2026-03-14T16:07:38.867731100+00:00,45.377,0.0
2026-03-14T16:07:38.914811300+00:00,47.973,0.0
2026-03-14T16:07:38.963105+00:00,47.807,0.0
2026-03-14T16:07:39.010341200+00:00,31.633,0.0
2026-03-14T16:07:39.073238900+00:00,31.963,0.0
2026-03-14T16:07:39.121392900+00:00,47.380,0.0
2026-03-14T16:07:39.166562800+00:00,14.742,0.0
2026-03-14T16:07:39.211258400+00:00,46.386,0.0
2026-03-14T16:07:39.258015600+00:00,93.138,0.2
2026-03-14T16:07:39.320243+00:00,155.361,0.8
2026-03-14T16:07:39.367234500+00:00,202.347,1.0
2026-03-14T16:07:39.412957100+00:00,248.081,1.2
2026-03-14T16:07:39.460206400+00:00,295.324,1.4
2026-03-14T16:07:39.522414500+00:00,357.538,2.0
2026-03-14T16:07:39.569412300+00:00,404.538,2.1
2026-03-14T16:07:39.616584900+00:00,451.708,2.5
2026-03-14T16:07:39.663215300+00:00,498.333,2.5
2026-03-14T16:07:39.709990600+00:00,545.117,3.1
2026-03-14T16:07:39.772975600+00:00,608.096,3.3
2026-03-14T16:07:39.820735300+00:00,655.857,3.7
2026-03-14T16:07:39.867694800+00:00,702.824,3.9
2026-03-14T16:07:39.914721+00:00,749.840,4.1
2026-03-14T16:07:39.962168300+00:00,797.290,4.5
2026-03-14T16:07:40.007650600+00:00,842.763,4.7
2026-03-14T16:07:40.068337200+00:00,903.460,5.1
2026-03-14T16:07:40.114968400+00:00,950.093,5.5
2026-03-14T16:07:40.161558100+00:00,996.684,5.7
2026-03-14T16:07:40.223404300+00:00,1058.518,5.9
2026-03-14T16:07:40.269822+00:00,1104.943,6.2
2026-03-14T16:07:40.316475200+00:00,1151.598,6.6
2026-03-14T16:07:40.363463400+00:00,1198.587,7.0
2026-03-14T16:07:40.410528700+00:00,1245.636,7.0
2026-03-14T16:07:40.458646600+00:00,1293.767,7.2
2026-03-14T16:07:40.520845500+00:00,1355.971,7.8
2026-03-14T16:07:40.566965+00:00,1402.098,8.2
2026-03-14T16:07:40.613738500+00:00,1448.865,8.4
2026-03-14T16:07:40.660100400+00:00,1495.223,8.4
2026-03-14T16:07:40.707468100+00:00,1542.596,9.0
2026-03-14T16:07:40.769359800+00:00,1604.487,9.2
2026-03-14T16:07:40.816787600+00:00,1651.905,9.6
2026-03-14T16:07:40.863272500+00:00,1698.391,9.8
2026-03-14T16:07:40.910343900+00:00,1745.462,10.2
2026-03-14T16:07:40.973421600+00:00,1808.546,10.4
2026-03-14T16:07:41.019861300+00:00,1854.757,10.7
2026-03-14T16:07:41.066769400+00:00,1901.881,10.9
2026-03-14T16:07:41.113852800+00:00,1948.982,11.3
2026-03-14T16:07:41.161476200+00:00,1996.602,11.5
2026-03-14T16:07:41.207862400+00:00,2042.972,11.7
2026-03-14T16:07:41.268900300+00:00,2104.024,12.1
2026-03-14T16:07:41.314862900+00:00,2149.942,12.5
2026-03-14T16:07:41.361892100+00:00,2197.017,12.9
2026-03-14T16:07:41.407986+00:00,2243.097,12.9
2026-03-14T16:07:41.469508700+00:00,2304.634,13.3
2026-03-14T16:07:41.516361300+00:00,2351.486,13.7
2026-03-14T16:07:41.562993900+00:00,2398.117,14.1
2026-03-14T16:07:41.609070700+00:00,2444.190,14.3
2026-03-14T16:07:41.672125200+00:00,2507.242,14.6
2026-03-14T16:07:41.718758200+00:00,2553.886,14.8
2026-03-14T16:07:41.765135800+00:00,2600.248,15.0
2026-03-14T16:07:41.812081500+00:00,2647.187,15.4
2026-03-14T16:07:41.859719400+00:00,2694.826,15.6
2026-03-14T16:07:41.922001600+00:00,2757.126,16.2
2026-03-14T16:07:41.969990500+00:00,2805.089,16.2
2026-03-14T16:07:42.016879600+00:00,2852.000,16.6
2026-03-14T16:07:42.064592500+00:00,2899.709,16.8
2026-03-14T16:07:42.110280200+00:00,2945.407,17.2
2026-03-14T16:07:42.171945900+00:00,3007.072,17.6
2026-03-14T16:07:42.218422400+00:00,3053.542,17.8
2026-03-14T16:07:42.265410900+00:00,3100.519,18.0
2026-03-14T16:07:42.311404400+00:00,3146.522,18.2
2026-03-14T16:07:42.372182900+00:00,3207.306,18.8
2026-03-14T16:07:42.419828600+00:00,3254.959,18.9
2026-03-14T16:07:42.466515500+00:00,3301.633,19.1
2026-03-14T16:07:42.514025600+00:00,3349.150,19.3
2026-03-14T16:07:42.561827500+00:00,3396.948,19.9
2026-03-14T16:07:42.608622300+00:00,3443.729,20.1
2026-03-14T16:07:42.670510400+00:00,3505.631,20.5
2026-03-14T16:07:42.718302700+00:00,3553.431,20.7
2026-03-14T16:07:42.764139700+00:00,3599.269,21.1
2026-03-14T16:07:42.812283400+00:00,3647.406,21.3
2026-03-14T16:07:42.858712700+00:00,3693.831,21.5
2026-03-14T16:07:42.922041+00:00,3757.166,21.9
2026-03-14T16:07:42.969849800+00:00,3804.978,22.1
2026-03-14T16:07:43.016065400+00:00,3851.191,22.5
2026-03-14T16:07:43.063152600+00:00,3898.284,22.7
2026-03-14T16:07:43.107895900+00:00,3943.015,23.0
2026-03-14T16:07:43.171998600+00:00,4007.126,23.4
2026-03-14T16:07:43.218932700+00:00,4054.054,23.6
2026-03-14T16:07:43.265058400+00:00,4100.185,23.8
2026-03-14T16:07:43.311336600+00:00,4146.459,24.2
2026-03-14T16:07:43.359206700+00:00,4194.326,24.6
2026-03-14T16:07:43.422681400+00:00,4257.321,25.0
2026-03-14T16:07:43.468784400+00:00,4242.593,12.5
2026-03-14T16:07:43.515504100+00:00,4289.289,12.7
2026-03-14T16:07:43.562183200+00:00,4335.994,13.3
2026-03-14T16:07:43.609073400+00:00,4382.855,13.5
2026-03-14T16:07:43.670469300+00:00,4444.269,13.9
2026-03-14T16:07:43.717070800+00:00,4490.871,13.9
2026-03-14T16:07:43.764162200+00:00,4537.964,14.5
2026-03-14T16:07:43.811347400+00:00,4585.138,14.6
2026-03-14T16:07:43.858203500+00:00,4631.987,15.0
2026-03-14T16:07:43.921006900+00:00,4694.791,15.2
2026-03-14T16:07:43.968197+00:00,4742.001,15.6
2026-03-14T16:07:44.015284500+00:00,4789.091,15.8
2026-03-14T16:07:44.061531200+00:00,4835.323,16.0
2026-03-14T16:07:44.107695400+00:00,4881.498,16.4
2026-03-14T16:07:44.169506400+00:00,4943.319,16.8
2026-03-14T16:07:44.217296400+00:00,4991.097,17.0
2026-03-14T16:07:44.264320800+00:00,5038.096,17.2
2026-03-14T16:07:44.310033100+00:00,5083.837,17.6
2026-03-14T16:07:44.372218800+00:00,5146.029,18.0
2026-03-14T16:07:44.419656100+00:00,5193.439,18.4
2026-03-14T16:07:44.466476900+00:00,5240.272,18.4
2026-03-14T16:07:44.514260500+00:00,5288.067,18.8
2026-03-14T16:07:44.561674600+00:00,5335.470,19.1
2026-03-14T16:07:44.608414200+00:00,5382.214,19.3
2026-03-14T16:07:44.669442200+00:00,5443.255,19.7
2026-03-14T16:07:44.716210100+00:00,5490.016,19.7
2026-03-14T16:07:44.762529100+00:00,5536.338,20.1
2026-03-14T16:07:44.809837900+00:00,5583.639,20.5
2026-03-14T16:07:44.871721100+00:00,5645.527,20.9
2026-03-14T16:07:44.917581700+00:00,5691.348,21.1
2026-03-14T16:07:44.964190900+00:00,5738.001,21.3
2026-03-14T16:07:45.010706500+00:00,5784.513,21.7
2026-03-14T16:07:45.071364700+00:00,5845.167,22.1
2026-03-14T16:07:45.117224600+00:00,5891.019,22.3
2026-03-14T16:07:45.162923100+00:00,5936.722,22.7
2026-03-14T16:07:45.209030500+00:00,5982.820,22.9
2026-03-14T16:07:45.271755+00:00,6045.558,23.4
2026-03-14T16:07:45.319761+00:00,6093.565,23.4
2026-03-14T16:07:45.366235500+00:00,6140.040,23.6
2026-03-14T16:07:45.412975300+00:00,6186.777,24.2
2026-03-14T16:07:45.459014100+00:00,6232.796,24.2
2026-03-14T16:07:45.521146700+00:00,6294.945,24.6
2026-03-14T16:07:45.568272900+00:00,6342.073,24.8
2026-03-14T16:07:45.615247600+00:00,6389.052,25.4
2026-03-14T16:07:45.662141600+00:00,6435.937,25.6
2026-03-14T16:07:45.708938+00:00,6482.743,25.8
2026-03-14T16:07:45.772141500+00:00,6545.923,26.0
2026-03-14T16:07:45.819656600+00:00,6593.458,26.6
2026-03-14T16:07:45.865730200+00:00,6639.532,26.8
2026-03-14T16:07:45.914048300+00:00,6687.830,27.0
2026-03-14T16:07:45.962090800+00:00,6735.894,27.1
2026-03-14T16:07:46.009963500+00:00,6783.748,27.5
2026-03-14T16:07:46.057703700+00:00,6831.506,27.9
2026-03-14T16:07:46.120429600+00:00,6894.234,28.1
2026-03-14T16:07:46.167844700+00:00,6941.645,28.5
2026-03-14T16:07:46.215153600+00:00,6988.952,28.7
2026-03-14T16:07:46.262195900+00:00,7036.001,29.1
2026-03-14T16:07:46.309129400+00:00,7082.931,29.3
2026-03-14T16:07:46.370983200+00:00,7144.758,29.7
2026-03-14T16:07:46.418215600+00:00,7192.028,30.1
2026-03-14T16:07:46.465031900+00:00,7238.828,30.1
2026-03-14T16:07:46.511890300+00:00,7285.691,30.5
2026-03-14T16:07:46.559104700+00:00,7332.914,30.7
2026-03-14T16:07:46.622837400+00:00,7396.643,31.2
2026-03-14T16:07:46.669349500+00:00,7443.152,31.4
2026-03-14T16:07:46.716011100+00:00,7489.818,31.6
2026-03-14T16:07:46.762765400+00:00,7536.568,31.8
2026-03-14T16:07:46.809276500+00:00,7583.022,32.2
2026-03-14T16:07:46.872069200+00:00,7645.861,32.6
2026-03-14T16:07:46.920172500+00:00,7693.957,33.0
2026-03-14T16:07:46.966386900+00:00,7740.192,33.0
2026-03-14T16:07:47.012357900+00:00,7786.156,33.2
2026-03-14T16:07:47.059435+00:00,7833.228,33.8
2026-03-14T16:07:47.121140100+00:00,7894.948,34.0
2026-03-14T16:07:47.167261800+00:00,7941.064,34.4
2026-03-14T16:07:47.213424900+00:00,7987.191,34.4
2026-03-14T16:07:47.262118400+00:00,8035.926,35.0
2026-03-14T16:07:47.309423800+00:00,8083.190,35.2
2026-03-14T16:07:47.372398800+00:00,8146.203,35.5
2026-03-14T16:07:47.420186500+00:00,8193.963,35.7
2026-03-14T16:07:47.466071200+00:00,8239.883,36.1
2026-03-14T16:07:47.512309+00:00,8286.113,36.3
2026-03-14T16:07:47.559190400+00:00,8332.989,36.5
2026-03-14T16:07:47.619662300+00:00,8393.467,36.9
2026-03-14T16:07:47.668102700+00:00,8441.889,37.3
2026-03-14T16:07:47.714904400+00:00,8488.691,37.5
2026-03-14T16:07:47.761061500+00:00,8534.870,37.7
2026-03-14T16:07:47.807788800+00:00,8581.573,38.1
2026-03-14T16:07:47.870850400+00:00,8644.645,38.5
2026-03-14T16:07:47.918513600+00:00,8692.323,38.9
2026-03-14T16:07:47.966041900+00:00,8739.848,38.9
2026-03-14T16:07:48.013055700+00:00,8786.848,39.3
2026-03-14T16:07:48.060027900+00:00,8833.840,39.6
2026-03-14T16:07:48.123149300+00:00,8896.958,40.0
2026-03-14T16:07:48.170599500+00:00,8944.343,40.2
2026-03-14T16:07:48.217737200+00:00,8991.542,40.2
2026-03-14T16:07:48.264056700+00:00,9037.860,40.8
2026-03-14T16:07:48.309485400+00:00,9083.286,41.0
2026-03-14T16:07:48.372337700+00:00,9146.147,41.4
2026-03-14T16:07:48.420267+00:00,9193.514,41.6
2026-03-14T16:07:48.466667200+00:00,5247.660,29.5
2026-03-14T16:07:48.512896500+00:00,5293.877,29.7
2026-03-14T16:07:48.557892900+00:00,5338.884,30.1
2026-03-14T16:07:48.619717200+00:00,5400.710,30.3
2026-03-14T16:07:48.666722300+00:00,5447.690,30.7
2026-03-14T16:07:48.712920400+00:00,5493.910,30.9
2026-03-14T16:07:48.759745200+00:00,5540.738,31.1
2026-03-14T16:07:48.808499200+00:00,5589.485,31.4
2026-03-14T16:07:48.869915200+00:00,5650.909,31.6
2026-03-14T16:07:48.916430200+00:00,5697.416,32.2
2026-03-14T16:07:48.963191300+00:00,5744.185,32.2
2026-03-14T16:07:49.009708900+00:00,5790.701,32.6
2026-03-14T16:07:49.057457200+00:00,5838.455,32.8
2026-03-14T16:07:49.119585700+00:00,5900.559,33.4
2026-03-14T16:07:49.166466200+00:00,5947.455,33.6
2026-03-14T16:07:49.213804700+00:00,5994.747,33.8
2026-03-14T16:07:49.260538400+00:00,6041.527,34.0
2026-03-14T16:07:49.322104100+00:00,6103.092,34.6
2026-03-14T16:07:49.367382300+00:00,6148.368,34.8
2026-03-14T16:07:49.413862900+00:00,6194.829,35.0
2026-03-14T16:07:49.459928400+00:00,6240.922,35.2
2026-03-14T16:07:49.521845200+00:00,6302.839,35.5
2026-03-14T16:07:49.568538300+00:00,6349.532,35.9
2026-03-14T16:07:49.615663200+00:00,6396.616,36.1
2026-03-14T16:07:49.662452200+00:00,6443.437,36.5
2026-03-14T16:07:49.709566400+00:00,6490.550,36.7
2026-03-14T16:07:49.757732+00:00,6538.720,37.1
2026-03-14T16:07:49.818617800+00:00,6599.598,37.3
2026-03-14T16:07:49.864913900+00:00,6645.859,37.7
2026-03-14T16:07:49.911083200+00:00,6692.079,38.1
2026-03-14T16:07:49.958336700+00:00,6739.323,38.1
2026-03-14T16:07:50.020572100+00:00,6801.560,38.5
2026-03-14T16:07:50.066734500+00:00,6847.640,38.7
2026-03-14T16:07:50.114047800+00:00,6895.021,39.3
2026-03-14T16:07:50.160455500+00:00,6941.425,39.5
2026-03-14T16:07:50.208309200+00:00,6989.257,39.6
2026-03-14T16:07:50.271504+00:00,7052.488,39.8
2026-03-14T16:07:50.316623100+00:00,7097.607,40.4
2026-03-14T16:07:50.364229600+00:00,7145.219,40.6
2026-03-14T16:07:50.413208800+00:00,7193.809,41.0
2026-03-14T16:07:50.457979600+00:00,7238.971,41.0
2026-03-14T16:07:50.521171300+00:00,7302.139,41.6
2026-03-14T16:07:50.567427500+00:00,7348.419,41.8
2026-03-14T16:07:50.614362300+00:00,7395.283,42.0
2026-03-14T16:07:50.660698500+00:00,7441.690,42.4
2026-03-14T16:07:50.707818600+00:00,7488.787,42.6
2026-03-14T16:07:50.770397300+00:00,7551.367,43.0
2026-03-14T16:07:50.815454200+00:00,7596.436,43.2
2026-03-14T16:07:50.861785+00:00,7642.775,43.6
2026-03-14T16:07:50.908472+00:00,7689.454,43.8
2026-03-14T16:07:50.970581700+00:00,7751.559,44.3
2026-03-14T16:07:51.016061+00:00,7797.046,44.3
2026-03-14T16:07:51.062419500+00:00,7843.401,44.7
2026-03-14T16:07:51.109731100+00:00,7890.724,44.9
2026-03-14T16:07:51.170569400+00:00,7951.561,45.5
2026-03-14T16:07:51.217498100+00:00,7998.473,45.7
2026-03-14T16:07:51.263429400+00:00,8044.407,45.7
2026-03-14T16:07:51.310502900+00:00,8091.488,46.1
2026-03-14T16:07:51.358925400+00:00,8139.901,46.5
2026-03-14T16:07:51.420837200+00:00,8201.827,46.9
2026-03-14T16:07:51.466577700+00:00,8247.560,47.1
2026-03-14T16:07:51.514003500+00:00,8294.992,47.3
2026-03-14T16:07:51.560255900+00:00,8341.235,47.7
2026-03-14T16:07:51.623393500+00:00,8403.988,48.0
2026-03-14T16:07:51.669299800+00:00,8450.283,48.2
2026-03-14T16:07:51.717068100+00:00,8497.970,48.6
2026-03-14T16:07:51.762829400+00:00,8543.816,48.8
2026-03-14T16:07:51.809329700+00:00,8590.321,49.0
2026-03-14T16:07:51.872240+00:00,8653.223,49.4
2026-03-14T16:07:51.919398100+00:00,8700.355,49.6
2026-03-14T16:07:51.966259600+00:00,8747.254,50.2
2026-03-14T16:07:52.013481600+00:00,8794.350,50.2
2026-03-14T16:07:52.059850600+00:00,8840.844,50.6
2026-03-14T16:07:52.122086+00:00,8903.075,50.8
2026-03-14T16:07:52.167877600+00:00,8948.860,51.4
2026-03-14T16:07:52.215047900+00:00,8996.019,51.6
2026-03-14T16:07:52.262047900+00:00,9043.002,51.8
2026-03-14T16:07:52.309062100+00:00,9090.045,52.0
2026-03-14T16:07:52.372214300+00:00,9153.205,52.5
2026-03-14T16:07:52.419388600+00:00,9200.373,52.7
2026-03-14T16:07:52.466250+00:00,9247.233,52.9
2026-03-14T16:07:52.513839700+00:00,9294.830,53.1
2026-03-14T16:07:52.560219400+00:00,9341.168,53.5
2026-03-14T16:07:52.621719700+00:00,9402.709,53.9
2026-03-14T16:07:52.667542200+00:00,9448.529,54.1
2026-03-14T16:07:52.714026300+00:00,9495.006,54.5
2026-03-14T16:07:52.761299700+00:00,9542.270,54.7
2026-03-14T16:07:52.808062900+00:00,9589.049,55.1
2026-03-14T16:07:52.869692500+00:00,9650.683,55.3
2026-03-14T16:07:52.916210900+00:00,9697.198,55.7
2026-03-14T16:07:52.963783500+00:00,9744.775,56.1
2026-03-14T16:07:53.011008700+00:00,9791.979,56.1
2026-03-14T16:07:53.072246100+00:00,9853.234,56.4
2026-03-14T16:07:53.119059400+00:00,9900.039,56.6
2026-03-14T16:07:53.165028700+00:00,9946.022,57.2
2026-03-14T16:07:53.210952800+00:00,9991.951,57.4
2026-03-14T16:07:53.258248100+00:00,10039.236,57.6
2026-03-14T16:07:53.321607100+00:00,10102.589,57.8
2026-03-14T16:07:53.367876500+00:00,10148.842,58.4
2026-03-14T16:07:53.415750900+00:00,10196.519,58.6
2026-03-14T16:07:53.463221500+00:00,6249.655,46.5
2026-03-14T16:07:53.510420900+00:00,6296.853,46.5
2026-03-14T16:07:53.558049+00:00,6344.457,46.9
2026-03-14T16:07:53.619459200+00:00,6405.886,47.3
2026-03-14T16:07:53.666867300+00:00,6453.299,47.5
2026-03-14T16:07:53.713283100+00:00,6499.698,47.9
2026-03-14T16:07:53.760035+00:00,6546.449,48.0
2026-03-14T16:07:53.807452500+00:00,6593.872,48.4
