ts,total,critical,important,normal
2026-03-18T08:03:32.753865200+00:00,1,0,1,0
2026-03-18T08:03:32.806092900+00:00,1,0,1,0
2026-03-18T08:03:32.853004400+00:00,1,0,0,1
2026-03-18T08:03:32.853833100+00:00,1,0,1,0
2026-03-18T08:03:32.916812700+00:00,1,0,1,0
2026-03-18T08:03:32.951941300+00:00,2,0,0,2
2026-03-18T08:03:32.963556500+00:00,1,0,1,0
2026-03-18T08:03:33.003715+00:00,1,0,1,0
2026-03-18T08:03:33.052160900+00:00,1,0,0,1
2026-03-18T08:03:33.053934+00:00,1,0,1,0
2026-03-18T08:03:33.106710600+00:00,1,0,1,0
2026-03-18T08:03:33.151726700+00:00,2,0,0,2
2026-03-18T08:03:33.153768400+00:00,1,0,1,0
2026-03-18T08:03:37.370661+00:00,1,0,1,0
2026-03-18T08:03:37.372115100+00:00,64,0,64,0
2026-03-18T08:03:37.373370500+00:00,64,0,19,45
2026-03-18T08:03:37.373944400+00:00,18,0,0,18
2026-03-18T08:03:37.417411200+00:00,1,0,1,0
2026-03-18T08:03:37.451801800+00:00,1,0,0,1
2026-03-18T08:03:37.465406800+00:00,1,0,1,0
2026-03-18T08:03:37.513616900+00:00,1,0,1,0
2026-03-18T08:03:37.551699200+00:00,2,0,0,2
2026-03-18T08:03:37.553706600+00:00,1,0,1,0
2026-03-18T08:03:37.606828400+00:00,1,0,1,0
2026-03-18T08:03:37.651800700+00:00,1,0,0,1
2026-03-18T08:03:37.670567900+00:00,1,0,1,0
2026-03-18T08:03:37.703962100+00:00,1,0,1,0
2026-03-18T08:03:37.751812100+00:00,2,0,0,2
2026-03-18T08:03:37.764262500+00:00,1,0,1,0
2026-03-18T08:03:37.813459+00:00,1,0,1,0
2026-03-18T08:03:37.851700200+00:00,1,0,0,1
2026-03-18T08:03:37.855680800+00:00,1,0,1,0
2026-03-18T08:03:37.920832300+00:00,1,0,1,0
2026-03-18T08:03:37.951686200+00:00,2,0,0,2
2026-03-18T08:03:37.953631500+00:00,1,0,1,0
2026-03-18T08:03:38.003695300+00:00,1,0,1,0
2026-03-18T08:03:38.051738700+00:00,1,0,0,1
2026-03-18T08:03:38.053644400+00:00,1,0,1,0
2026-03-18T08:03:38.109237100+00:00,1,0,1,0
2026-03-18T08:03:38.156411300+00:00,3,0,1,2
2026-03-18T08:03:42.373342400+00:00,1,0,1,0
2026-03-18T08:03:42.374489900+00:00,64,0,64,0
2026-03-18T08:03:42.375807600+00:00,64,0,19,45
2026-03-18T08:03:42.376971800+00:00,18,0,0,18
2026-03-18T08:03:42.421311400+00:00,1,0,1,0
2026-03-18T08:03:42.451746800+00:00,1,0,0,1
2026-03-18T08:03:42.455683200+00:00,1,0,1,0
2026-03-18T08:03:42.515383100+00:00,1,0,1,0
2026-03-18T08:03:42.551740500+00:00,2,0,0,2
2026-03-18T08:03:42.561694900+00:00,1,0,1,0
2026-03-18T08:03:42.609218300+00:00,1,0,1,0
2026-03-18T08:03:42.651998300+00:00,1,0,0,1
2026-03-18T08:03:42.655701300+00:00,1,0,1,0
2026-03-18T08:03:42.721392200+00:00,1,0,1,0
2026-03-18T08:03:42.751913100+00:00,2,0,0,2
2026-03-18T08:03:42.755772400+00:00,1,0,1,0
2026-03-18T08:03:42.814162700+00:00,1,0,1,0
2026-03-18T08:03:42.852281100+00:00,1,0,0,1
2026-03-18T08:03:42.860872400+00:00,1,0,1,0
2026-03-18T08:03:42.908272+00:00,1,0,1,0
2026-03-18T08:03:42.951903300+00:00,2,0,0,2
2026-03-18T08:03:42.955657300+00:00,1,0,1,0
2026-03-18T08:03:43.019552400+00:00,1,0,1,0
2026-03-18T08:03:43.051779200+00:00,1,0,0,1
2026-03-18T08:03:43.066885400+00:00,1,0,1,0
2026-03-18T08:03:43.114247300+00:00,1,0,1,0
2026-03-18T08:03:43.151822600+00:00,2,0,0,2
2026-03-18T08:03:43.155642300+00:00,1,0,1,0
2026-03-18T08:03:47.383466900+00:00,1,0,1,0
2026-03-18T08:03:47.384352600+00:00,64,0,64,0
2026-03-18T08:03:47.385293600+00:00,64,0,19,45
2026-03-18T08:03:47.385801500+00:00,18,0,0,18
2026-03-18T08:03:47.414340900+00:00,1,0,1,0
2026-03-18T08:03:47.451629+00:00,1,0,0,1
2026-03-18T08:03:47.457676800+00:00,1,0,1,0
2026-03-18T08:03:47.521899300+00:00,1,0,1,0
2026-03-18T08:03:47.551802300+00:00,2,0,0,2
2026-03-18T08:03:47.558365700+00:00,1,0,1,0
2026-03-18T08:03:47.614974700+00:00,1,0,1,0
2026-03-18T08:03:47.651692700+00:00,1,0,0,1
2026-03-18T08:03:47.657654100+00:00,1,0,1,0
2026-03-18T08:03:47.708611100+00:00,1,0,1,0
2026-03-18T08:03:47.751828900+00:00,1,0,0,1
2026-03-18T08:03:47.754029800+00:00,1,0,0,1
2026-03-18T08:03:47.757643400+00:00,1,0,1,0
2026-03-18T08:03:47.819467900+00:00,1,0,1,0
2026-03-18T08:03:47.851712100+00:00,1,0,0,1
2026-03-18T08:03:47.857639100+00:00,1,0,1,0
2026-03-18T08:03:47.915022200+00:00,1,0,1,0
2026-03-18T08:03:47.951689400+00:00,2,0,0,2
2026-03-18T08:03:47.962239800+00:00,1,0,1,0
2026-03-18T08:03:48.009664400+00:00,1,0,1,0
2026-03-18T08:03:48.051778+00:00,1,0,0,1
2026-03-18T08:03:48.057664100+00:00,1,0,1,0
2026-03-18T08:03:48.120922100+00:00,1,0,1,0
2026-03-18T08:03:48.151134900+00:00,1,0,0,1
2026-03-18T08:03:48.151503300+00:00,1,0,0,1
