ts,sensor,seq,jitter_ms,drift_ms,processing_latency_ms,priority,status
2025-09-05T17:52:21.685279+00:00,thermal,41,0.716,-0.716,0.000,important,warning
2025-09-05T17:52:21.735635+00:00,thermal,42,0.345,0.345,0.000,important,warning
2025-09-05T17:52:21.735635+00:00,power,21,0.394,-0.394,0.000,normal,normal
2025-09-05T17:52:21.785909+00:00,thermal,43,0.272,0.272,0.000,important,warning
2025-09-05T17:52:21.835865+00:00,thermal,44,0.045,-0.045,0.000,important,warning
2025-09-05T17:52:21.835920+00:00,power,22,0.290,0.290,0.000,normal,normal
2025-09-05T17:52:21.835980+00:00,attitude,11,0.103,-0.103,0.000,normal,normal
2025-09-05T17:52:21.884778+00:00,thermal,45,1.078,-1.078,0.000,important,warning
2025-09-05T17:52:21.934950+00:00,thermal,46,0.169,0.169,0.000,important,warning
2025-09-05T17:52:21.935037+00:00,power,23,0.882,-0.882,0.000,normal,normal
2025-09-05T17:52:21.985171+00:00,thermal,47,0.226,0.226,0.000,important,warning
2025-09-05T17:52:22.035135+00:00,thermal,48,0.042,-0.042,0.000,important,warning
2025-09-05T17:52:22.035152+00:00,power,24,0.115,0.115,0.000,normal,normal
2025-09-05T17:52:22.035210+00:00,attitude,12,0.766,-0.766,0.000,normal,normal
2025-09-05T17:52:22.085203+00:00,thermal,49,0.070,0.070,0.000,important,warning
2025-09-05T17:52:22.135034+00:00,thermal,50,0.172,-0.172,0.000,important,warning
2025-09-05T17:52:22.135049+00:00,power,25,0.115,-0.115,0.000,normal,normal
2025-09-05T17:52:22.185179+00:00,thermal,51,0.148,0.148,0.000,important,warning
2025-09-05T17:52:22.235291+00:00,thermal,52,0.112,0.112,0.000,important,warning
2025-09-05T17:52:22.235317+00:00,power,26,0.278,0.278,0.000,normal,normal
2025-09-05T17:52:22.235374+00:00,attitude,13,0.159,0.159,0.000,normal,normal
2025-09-05T17:52:22.286021+00:00,thermal,53,0.727,0.727,0.000,important,warning
2025-09-05T17:52:22.335154+00:00,power,27,0.163,-0.163,0.000,normal,normal
2025-09-05T17:52:22.335151+00:00,thermal,54,0.871,-0.871,0.000,important,warning
2025-09-05T17:52:22.384773+00:00,thermal,55,0.375,-0.375,0.000,important,warning
2025-09-05T17:52:22.435936+00:00,thermal,56,1.162,1.162,0.000,important,warning
2025-09-05T17:52:22.436026+00:00,attitude,14,0.644,0.644,0.000,normal,normal
2025-09-05T17:52:22.436030+00:00,power,28,0.877,0.877,0.000,normal,normal
2025-09-05T17:52:22.485229+00:00,thermal,57,0.710,-0.710,0.000,important,warning
2025-09-05T17:52:22.535536+00:00,thermal,58,0.311,0.311,0.000,important,warning
2025-09-05T17:52:22.535571+00:00,power,29,0.460,-0.460,0.000,normal,normal
2025-09-05T17:52:22.585301+00:00,thermal,59,0.235,-0.235,0.000,important,warning
2025-09-05T17:52:22.635385+00:00,power,30,0.184,-0.184,0.000,normal,normal
2025-09-05T17:52:22.635382+00:00,thermal,60,0.081,0.081,0.000,important,warning
2025-09-05T17:52:22.635461+00:00,attitude,15,0.567,-0.567,0.000,normal,normal
2025-09-05T17:52:22.685745+00:00,thermal,61,0.367,0.367,0.000,important,warning
2025-09-05T17:52:22.734584+00:00,power,31,0.801,-0.801,0.000,normal,normal
2025-09-05T17:52:22.734574+00:00,thermal,62,1.173,-1.173,0.000,important,warning
2025-09-05T17:52:22.785426+00:00,thermal,63,0.849,0.849,0.000,important,warning
2025-09-05T17:52:22.835557+00:00,thermal,64,0.132,0.132,0.000,important,warning
2025-09-05T17:52:22.835576+00:00,power,32,0.993,0.993,0.000,normal,normal
2025-09-05T17:52:22.835640+00:00,attitude,16,0.187,0.187,0.000,normal,normal
2025-09-05T17:52:22.885788+00:00,thermal,65,0.232,0.232,0.000,important,warning
2025-09-05T17:52:22.934900+00:00,power,33,0.680,-0.680,0.000,normal,normal
2025-09-05T17:52:22.934900+00:00,thermal,66,0.893,-0.893,0.000,important,warning
2025-09-05T17:52:22.985681+00:00,thermal,67,0.783,0.783,0.000,important,warning
2025-09-05T17:52:23.035156+00:00,thermal,68,0.523,-0.523,0.000,important,warning
2025-09-05T17:52:23.035184+00:00,power,34,0.288,0.288,0.000,normal,normal
2025-09-05T17:52:23.035243+00:00,attitude,17,0.397,-0.397,0.000,normal,normal
2025-09-05T17:52:23.085842+00:00,thermal,69,0.688,0.688,0.000,important,warning
