ts,event,fault_id,target,kind,duration_ms,component,recovery_ms,aborted,note
2026-03-18T11:14:28.764431+00:00,inject,a8344f49-d6af-4d23-ad9b-9593c29fba42,power,corrupt,200,,,,
2026-03-18T11:14:28.991629500+00:00,recovery,a8344f49-d6af-4d23-ad9b-9593c29fba42,,,,power,24.9,false,
2026-03-18T11:15:28.775968800+00:00,inject,fd506f18-5503-4f5f-a08e-19a6bddda879,attitude,pause,150,,,,
2026-03-18T11:15:29.071495500+00:00,recovery,fd506f18-5503-4f5f-a08e-19a6bddda879,,,,attitude,145.3,false,
2026-03-18T11:16:28.789754+00:00,inject,e5844a56-23b5-491a-8400-db18fcf59c58,thermal,delay,150,,,,
2026-03-18T11:16:28.943150600+00:00,recovery,e5844a56-23b5-491a-8400-db18fcf59c58,,,,thermal,2.7,false,
2026-03-18T11:17:28.799902200+00:00,inject,31b799e6-8c5e-4d2d-896a-c6c8c4ccce13,power,corrupt,200,,,,
2026-03-18T11:17:29.064935800+00:00,recovery,31b799e6-8c5e-4d2d-896a-c6c8c4ccce13,,,,power,62.9,false,
2026-03-18T11:18:28.800189400+00:00,inject,6fb7b907-1f72-42ae-a3f4-2d24c77bf7ae,attitude,pause,150,,,,
2026-03-18T11:18:29.101808100+00:00,recovery,6fb7b907-1f72-42ae-a3f4-2d24c77bf7ae,,,,attitude,131.2,false,
2026-03-18T11:19:28.807929900+00:00,inject,7388ebfc-860b-4239-905f-87936eb34d8b,thermal,delay,150,,,,
2026-03-18T11:19:28.996224500+00:00,recovery,7388ebfc-860b-4239-905f-87936eb34d8b,,,,thermal,37.6,false,
2026-03-18T13:34:02.465351700+00:00,inject,b5661dbb-c1b7-4e08-a70b-a8f84c65b95c,power,corrupt,200,,,,
2026-03-18T13:34:02.764302600+00:00,recovery,b5661dbb-c1b7-4e08-a70b-a8f84c65b95c,,,,power,82.1,false,
2026-03-18T13:35:02.464853700+00:00,inject,5874b59a-1144-429d-a5fc-16f53e45a109,attitude,pause,150,,,,
2026-03-18T13:35:02.708487+00:00,recovery,5874b59a-1144-429d-a5fc-16f53e45a109,,,,attitude,91.5,false,
2026-03-18T13:36:02.468698600+00:00,inject,ff39c652-7dc6-4fd4-970b-99623218b375,thermal,delay,150,,,,
2026-03-18T13:36:02.672903+00:00,recovery,ff39c652-7dc6-4fd4-970b-99623218b375,,,,thermal,54.1,false,
2026-03-18T13:37:02.474262600+00:00,inject,ba767e90-b197-4569-a6a7-5abf99ba7578,power,corrupt,200,,,,
2026-03-18T13:37:02.694681900+00:00,recovery,ba767e90-b197-4569-a6a7-5abf99ba7578,,,,power,19.9,false,
2026-03-18T13:38:02.474806700+00:00,inject,d28e130b-17c7-4c00-b128-987f6ef430e4,attitude,pause,150,,,,
2026-03-18T13:38:02.785722200+00:00,recovery,d28e130b-17c7-4c00-b128-987f6ef430e4,,,,attitude,153.9,false,
2026-03-18T13:39:02.476892300+00:00,inject,3f740828-cf88-4613-93df-c24950c64775,thermal,delay,150,,,,
2026-03-18T13:39:02.648707800+00:00,recovery,3f740828-cf88-4613-93df-c24950c64775,,,,thermal,17.0,false,
2026-03-18T13:40:02.474808900+00:00,inject,057d98fe-8fa1-461e-b9d3-580d8a64cc74,power,corrupt,200,,,,
2026-03-18T13:40:02.747160500+00:00,recovery,057d98fe-8fa1-461e-b9d3-580d8a64cc74,,,,power,70.2,false,
2026-03-18T13:41:02.477466+00:00,inject,0b03efdf-08f9-4e5b-b4a4-c8e9d2e1bfd4,attitude,pause,150,,,,
2026-03-18T13:41:02.665759600+00:00,recovery,0b03efdf-08f9-4e5b-b4a4-c8e9d2e1bfd4,,,,attitude,37.9,false,
2026-03-18T13:42:02.474808800+00:00,inject,a366c982-99b1-44e6-8d3f-64448a012b4c,thermal,delay,150,,,,
2026-03-18T13:42:02.647684800+00:00,recovery,a366c982-99b1-44e6-8d3f-64448a012b4c,,,,thermal,21.9,false,
2026-03-18T13:43:02.474812+00:00,inject,867a45e2-f519-4e57-b820-bc058479a520,power,corrupt,200,,,,
2026-03-18T13:43:02.752081200+00:00,recovery,867a45e2-f519-4e57-b820-bc058479a520,,,,power,76.3,false,
2026-03-18T13:44:02.476121700+00:00,inject,5e7cef18-5f54-4283-adc0-c053b2ada791,attitude,pause,150,,,,
2026-03-18T13:44:02.891916600+00:00,recovery,5e7cef18-5f54-4283-adc0-c053b2ada791,,,,attitude,259.1,true,
2026-03-18T13:45:02.474826400+00:00,inject,f240575d-07af-4ae6-9a8c-d8cdbde69b4e,thermal,delay,150,,,,
2026-03-18T13:45:02.677584900+00:00,recovery,f240575d-07af-4ae6-9a8c-d8cdbde69b4e,,,,thermal,49.2,false,
2026-03-18T13:57:55.984507400+00:00,inject,31647e08-f047-40cd-81c2-6560ec365b3d,power,corrupt,200,,,,
2026-03-18T13:57:56.277331600+00:00,recovery,31647e08-f047-40cd-81c2-6560ec365b3d,,,,power,91.0,false,
2026-03-18T13:58:55.985307500+00:00,inject,0378b204-71ab-4fd8-9f3c-cddd76acff17,attitude,pause,150,,,,
2026-03-18T13:58:56.289683400+00:00,recovery,0378b204-71ab-4fd8-9f3c-cddd76acff17,,,,attitude,141.4,false,
2026-03-18T13:59:55.994410200+00:00,inject,538c9688-b12a-41d1-9c0b-4a8a6bf71902,thermal,delay,150,,,,
2026-03-18T13:59:56.194442400+00:00,recovery,538c9688-b12a-41d1-9c0b-4a8a6bf71902,,,,thermal,48.9,false,
2026-03-18T14:00:56.004905700+00:00,inject,e5542311-641e-4ad5-a2a4-550739b88d2f,power,corrupt,200,,,,
2026-03-18T14:00:56.270320100+00:00,recovery,e5542311-641e-4ad5-a2a4-550739b88d2f,,,,power,65.0,false,
2026-03-18T14:01:56.006138400+00:00,inject,7b3d1465-95a8-45a7-b504-2ba265c1f8e2,attitude,pause,150,,,,
2026-03-18T14:01:56.313676100+00:00,recovery,7b3d1465-95a8-45a7-b504-2ba265c1f8e2,,,,attitude,151.2,false,
2026-03-18T14:02:56.012354700+00:00,inject,75baa304-ee3c-4f71-abce-b89f4f7e6720,thermal,delay,150,,,,
2026-03-18T14:02:56.193262500+00:00,recovery,75baa304-ee3c-4f71-abce-b89f4f7e6720,,,,thermal,30.0,false,
