ts,command_id,command_type,target_system,priority,is_urgent,send_time_ms,deadline_met,network_met,adherent,deadline_violation_ms,precision_ms,reason
2026-03-21T11:25:55.268751700+00:00,c5b96feb-e504-4e68-841d-e53fd762614a,ThermalControl,ThermalManagement,3,false,0.147,true,true,true,0.000,2.382,ok
2026-03-21T11:25:55.381030400+00:00,cd368397-9151-455d-a3e6-685d8db53e2a,ThermalControl,ThermalManagement,3,false,0.095,true,true,true,0.000,14.734,ok
2026-03-21T11:25:55.470779300+00:00,f2d7f162-ab0f-4162-b177-9b36a50f2d42,ThermalControl,ThermalManagement,3,false,0.101,true,true,true,0.000,4.412,ok
2026-03-21T11:25:55.572378700+00:00,16b50555-176f-4f28-bf2a-841130d7c5a7,PowerControl,PowerManagement,3,false,0.110,true,true,true,0.000,5.781,ok
2026-03-21T11:25:55.674288800+00:00,05897372-60e4-4066-af7d-918c77641d56,PowerControl,PowerManagement,3,false,0.312,true,true,true,0.000,7.131,ok
2026-03-21T11:25:55.768023100+00:00,819a553d-fe43-40b0-a2e0-b572924a14c6,PowerControl,PowerManagement,3,false,0.102,true,true,true,0.000,1.377,ok
2026-03-21T11:26:01.094933600+00:00,971b9afd-4233-4c1a-a049-07dafcfe1b1e,Diagnostic,ThermalManagement,2,false,0.064,true,true,true,0.000,5826.968,ok
2026-03-21T11:26:01.096118200+00:00,1c00af7f-78cd-497e-a809-8a30a47df295,Diagnostic,PowerManagement,2,false,0.065,true,true,true,0.000,5328.005,ok
2026-03-21T11:26:01.097828800+00:00,6dc0be0a-b23f-428b-9aba-12118d12923d,AttitudeControl,AttitudeControl,3,false,0.053,true,true,true,0.000,5230.510,ok
2026-03-21T11:26:01.101372300+00:00,de6b4834-3868-40e7-8177-9e86524f1482,AttitudeControl,AttitudeControl,3,false,0.066,true,true,true,0.000,5134.408,ok
2026-03-21T11:26:01.102409+00:00,d18a32f2-03aa-4d9c-b567-9e7d9905d5f6,AttitudeControl,AttitudeControl,3,false,0.048,true,true,true,0.000,5035.168,ok
2026-03-21T11:26:01.104067+00:00,f5af3402-80df-4bba-927f-1596b941928a,Diagnostic,AttitudeControl,2,false,0.048,true,true,true,0.000,4835.896,ok
2026-03-21T11:26:02.005306600+00:00,c0003049-b77a-4346-97c1-67ad3ce7fa83,Emergency,AllSystems,0,true,0.087,true,true,true,0.000,2.561,ok
2026-03-21T11:26:05.258617800+00:00,e1e5fe5a-9ed6-4e03-9882-7d765daeaaaf,ThermalControl,ThermalManagement,3,false,0.152,true,true,true,0.000,1.586,ok
2026-03-21T11:26:05.371398700+00:00,4700335c-1dc2-4511-94d8-9c6b9801c943,ThermalControl,ThermalManagement,3,false,0.102,true,true,true,0.000,14.191,ok
2026-03-21T11:26:05.469688600+00:00,1b369ee8-d52d-4482-b8ce-7df9733ce1c4,ThermalControl,ThermalManagement,3,false,0.092,true,true,true,0.000,12.189,ok
2026-03-21T11:26:05.568468+00:00,42c1ee17-7299-4946-8173-cde00f47ccdf,PowerControl,PowerManagement,3,false,0.132,true,true,true,0.000,10.716,ok
2026-03-21T11:26:05.669605300+00:00,40b465ef-749f-4174-8cf9-285b2c58929c,PowerControl,PowerManagement,3,false,0.102,true,true,true,0.000,11.669,ok
2026-03-21T11:26:05.764007300+00:00,81c6cf0f-5adc-451f-83d2-a95e2251aad3,PowerControl,PowerManagement,3,false,0.087,true,true,true,0.000,6.183,ok
2026-03-21T11:26:07.019221300+00:00,debad0c4-12e9-4d7b-8e00-565d9cf59eac,ThermalControl,ThermalManagement,1,true,0.095,true,true,true,0.000,0.922,ok
2026-03-21T11:26:12.029027100+00:00,4851040c-6d1c-4fc8-8925-d758dd849deb,Emergency,AllSystems,0,true,0.130,true,true,true,0.000,0.669,ok
2026-03-21T11:26:15.273227500+00:00,8ce4e3eb-264e-4273-9cce-5e6ff31642dc,ThermalControl,ThermalManagement,3,false,0.095,true,true,true,0.000,1.962,ok
2026-03-21T11:26:15.386987900+00:00,824fbd27-76b1-4b39-a7c1-630d21e89921,ThermalControl,ThermalManagement,3,false,0.083,true,true,true,0.000,15.545,ok
2026-03-21T11:26:15.472076200+00:00,1a2dfaa9-f5c4-4fda-8ed2-d453ff2d9607,ThermalControl,ThermalManagement,3,false,0.097,true,true,true,0.000,0.388,ok
2026-03-21T11:26:15.585761500+00:00,a4197047-1ae1-443a-830a-45207f2a44a7,PowerControl,PowerManagement,3,false,0.107,true,true,true,0.000,13.918,ok
2026-03-21T11:26:15.679331400+00:00,795f679d-ab90-4df0-9f87-7ae5a0d7135a,PowerControl,PowerManagement,3,false,0.343,true,true,true,0.000,6.894,ok
2026-03-21T11:26:15.787563700+00:00,2aed0dab-8b73-4c84-840e-599c346fdd7e,PowerControl,PowerManagement,3,false,0.143,true,true,true,0.000,15.039,ok
