ts,event,fault_id,fault_type,severity,description,recovery_mode,response_time_ms,resolution_ms,detected_at,resolved_at,auto_recovered
2026-03-21T11:23:11.476700400+00:00,detected,ThermalAnomaly_ff49631a23c53fb8,ThermalAnomaly,High,"Thermal sensor missed >3 consecutive cycles",,1.478,,2026-03-21T11:23:11.457576500+00:00,,false
2026-03-21T11:23:11.852546100+00:00,detected,ThermalAnomaly_ff49631a23c53fb8,ThermalAnomaly,High,"Thermal sensor missed >3 consecutive cycles",,0.804,,2026-03-21T11:23:11.845252700+00:00,,false
2026-03-21T11:23:25.596342+00:00,detected,ThermalAnomaly_ff49631a23c53fb8,ThermalAnomaly,High,"Thermal sensor missed >3 consecutive cycles",,1.858,,2026-03-21T11:23:25.579913+00:00,,false
2026-03-21T11:23:26.011160500+00:00,detected,ThermalAnomaly_ff49631a23c53fb8,ThermalAnomaly,High,"Thermal sensor missed >3 consecutive cycles",,2.146,,2026-03-21T11:23:26.001261500+00:00,,false
2026-03-21T11:23:56.976220700+00:00,detected,ThermalAnomaly_ff49631a23c53fb8,ThermalAnomaly,High,"Thermal sensor missed >3 consecutive cycles",,1.752,,2026-03-21T11:23:56.795834500+00:00,,false
2026-03-21T11:24:06.436628500+00:00,detected,ThermalAnomaly_ff49631a23c53fb8,ThermalAnomaly,High,"Thermal sensor missed >3 consecutive cycles",,1.039,,2026-03-21T11:24:06.409309100+00:00,,false
2026-03-21T11:24:14.865342100+00:00,detected,ThermalAnomaly_ff49631a23c53fb8,ThermalAnomaly,High,"Thermal sensor missed >3 consecutive cycles",,39.709,,2026-03-21T11:24:14.748223500+00:00,,false
2026-03-21T11:24:53.601093+00:00,detected,ThermalAnomaly_ff49631a23c53fb8,ThermalAnomaly,High,"Thermal sensor missed >3 consecutive cycles",,1.114,,2026-03-21T11:24:53.582216900+00:00,,false
2026-03-21T11:24:55.828434900+00:00,detected,TelemetryError_b3743567101a17de,TelemetryError,Medium,"Multiple Anomalies Detected In Power Sensor 2: Late reading: 4306ms (expected ~50ms), Battery low: 29.5%",,0.551,,2026-03-21T11:24:55.825495400+00:00,,false
2026-03-21T11:25:06.913272400+00:00,detected,ThermalAnomaly_ff49631a23c53fb8,ThermalAnomaly,High,"Thermal sensor missed >3 consecutive cycles",,8.584,,2026-03-21T11:25:06.865728800+00:00,,false
2026-03-21T11:25:10.856604600+00:00,detected,TelemetryError_b3743567101a17de,TelemetryError,Medium,"Multiple Anomalies Detected In Power Sensor 2: Late reading: 14328ms (expected ~50ms), Battery low: 22.3%",,0.744,,2026-03-21T11:25:10.852508+00:00,,false
2026-03-21T11:25:10.960557+00:00,detected,TelemetryError_b3743567101a17de,TelemetryError,Medium,"Multiple Anomalies Detected In Power Sensor 2: Late reading: 102ms (expected ~50ms), Battery low: 22.2%",,1.564,,2026-03-21T11:25:10.952510700+00:00,,false
2026-03-21T11:25:11.457798+00:00,detected,TelemetryError_b3743567101a17de,TelemetryError,Medium,"Multiple Anomalies Detected In Power Sensor 2: Late reading: 101ms (expected ~50ms), Battery low: 22.0%",,0.656,,2026-03-21T11:25:11.452511900+00:00,,false
2026-03-21T11:25:15.860042700+00:00,detected,TelemetryError_b3743567101a17de,TelemetryError,High,"Critical Condition Detected In Power Sensor 2: 19.80",,1.722,,2026-03-21T11:25:15.852535900+00:00,,false
2026-03-21T11:25:15.958005+00:00,detected,TelemetryError_b3743567101a17de,TelemetryError,High,"Critical Condition Detected In Power Sensor 2: 19.75",,2.387,,2026-03-21T11:25:15.952536+00:00,,false
2026-03-21T11:25:16.057256400+00:00,detected,TelemetryError_b3743567101a17de,TelemetryError,High,"Critical Condition Detected In Power Sensor 2: 19.70",,1.414,,2026-03-21T11:25:16.052536400+00:00,,false
2026-03-21T11:25:16.158460700+00:00,detected,TelemetryError_b3743567101a17de,TelemetryError,High,"Critical Condition Detected In Power Sensor 2: 19.65",,2.090,,2026-03-21T11:25:16.152535700+00:00,,false
2026-03-21T11:25:16.257451900+00:00,detected,TelemetryError_b3743567101a17de,TelemetryError,High,"Critical Condition Detected In Power Sensor 2: 19.60",,1.829,,2026-03-21T11:25:16.252534300+00:00,,false
2026-03-21T11:25:16.358364400+00:00,detected,TelemetryError_b3743567101a17de,TelemetryError,High,"Critical Condition Detected In Power Sensor 2: 19.55",,1.815,,2026-03-21T11:25:16.352559600+00:00,,false
2026-03-21T11:25:16.456574900+00:00,detected,TelemetryError_b3743567101a17de,TelemetryError,High,"Critical Condition Detected In Power Sensor 2: 19.50",,1.574,,2026-03-21T11:25:16.452558600+00:00,,false
2026-03-21T11:25:16.557877400+00:00,detected,TelemetryError_b3743567101a17de,TelemetryError,High,"Critical Condition Detected In Power Sensor 2: 19.45",,1.482,,2026-03-21T11:25:16.552557700+00:00,,false
2026-03-21T11:25:21.467269900+00:00,detected,ThermalAnomaly_ff49631a23c53fb8,ThermalAnomaly,High,"Thermal sensor missed >3 consecutive cycles",,0.986,,2026-03-21T11:25:21.461223100+00:00,,false
2026-03-21T11:25:25.786852900+00:00,detected,TelemetryError_b3743567101a17de,TelemetryError,High,"Critical Condition Detected In Power Sensor 2: 15.10",,2.026,,2026-03-21T11:25:25.781533500+00:00,,false
2026-03-21T11:25:25.884359200+00:00,detected,TelemetryError_b3743567101a17de,TelemetryError,High,"Critical Condition Detected In Power Sensor 2: 15.05",,1.064,,2026-03-21T11:25:25.881532600+00:00,,false
2026-03-21T11:25:25.989870300+00:00,detected,TelemetryError_b3743567101a17de,TelemetryError,High,"Critical Condition Detected In Power Sensor 2: 15.00",,1.880,,2026-03-21T11:25:25.981541400+00:00,,false
2026-03-21T11:25:26.085704+00:00,detected,TelemetryError_b3743567101a17de,TelemetryError,High,"Critical Condition Detected In Power Sensor 2: 14.95",,1.995,,2026-03-21T11:25:26.081563700+00:00,,false
2026-03-21T11:25:26.199091900+00:00,detected,TelemetryError_b3743567101a17de,TelemetryError,High,"Critical Condition Detected In Power Sensor 2: 14.90",,1.469,,2026-03-21T11:25:26.181564700+00:00,,false
2026-03-21T11:25:26.285478100+00:00,detected,TelemetryError_b3743567101a17de,TelemetryError,High,"Critical Condition Detected In Power Sensor 2: 14.85",,1.453,,2026-03-21T11:25:26.281565900+00:00,,false
2026-03-21T11:25:26.384974400+00:00,detected,TelemetryError_b3743567101a17de,TelemetryError,High,"Critical Condition Detected In Power Sensor 2: 14.80",,1.464,,2026-03-21T11:25:26.381564600+00:00,,false
2026-03-21T11:25:26.490182300+00:00,detected,TelemetryError_b3743567101a17de,TelemetryError,High,"Critical Condition Detected In Power Sensor 2: 14.75",,2.267,,2026-03-21T11:25:26.481563900+00:00,,false
2026-03-21T11:25:30.266158600+00:00,resolved,ThermalAnomaly_ff49631a23c53fb8,ThermalAnomaly,High,"Thermal sensor missed >3 consecutive cycles",Cooldown,,138808.219,2026-03-21T11:23:11.457576500+00:00,2026-03-21T11:25:30.265795800+00:00,true
2026-03-21T11:25:30.760354600+00:00,detected,TelemetryError_b3743567101a17de,TelemetryError,High,"Critical Condition Detected In Power Sensor 2: 14.70",,1.928,,2026-03-21T11:25:26.581562900+00:00,,false
2026-03-21T11:25:30.798127+00:00,detected,TelemetryError_b3743567101a17de,TelemetryError,High,"Critical Condition Detected In Power Sensor 2: 12.60",,1.901,,2026-03-21T11:25:30.781642500+00:00,,false
2026-03-21T11:25:30.896192900+00:00,detected,TelemetryError_b3743567101a17de,TelemetryError,High,"Critical Condition Detected In Power Sensor 2: 12.55",,5.817,,2026-03-21T11:25:30.881643600+00:00,,false
2026-03-21T11:25:30.994277800+00:00,detected,TelemetryError_b3743567101a17de,TelemetryError,High,"Critical Condition Detected In Power Sensor 2: 12.50",,2.376,,2026-03-21T11:25:30.981643+00:00,,false
2026-03-21T11:25:31.092460+00:00,detected,TelemetryError_b3743567101a17de,TelemetryError,High,"Critical Condition Detected In Power Sensor 2: 12.45",,3.261,,2026-03-21T11:25:31.081645200+00:00,,false
2026-03-21T11:25:31.185115300+00:00,detected,TelemetryError_b3743567101a17de,TelemetryError,High,"Critical Condition Detected In Power Sensor 2: 12.40",,1.424,,2026-03-21T11:25:31.181642100+00:00,,false
2026-03-21T11:25:31.285611+00:00,detected,TelemetryError_b3743567101a17de,TelemetryError,High,"Critical Condition Detected In Power Sensor 2: 12.35",,1.323,,2026-03-21T11:25:31.281642700+00:00,,false
2026-03-21T11:25:31.385128500+00:00,detected,TelemetryError_b3743567101a17de,TelemetryError,High,"Critical Condition Detected In Power Sensor 2: 12.30",,1.566,,2026-03-21T11:25:31.381659200+00:00,,false
2026-03-21T11:25:31.485469600+00:00,detected,TelemetryError_b3743567101a17de,TelemetryError,High,"Critical Condition Detected In Power Sensor 2: 12.25",,1.368,,2026-03-21T11:25:31.481658700+00:00,,false
